label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,92874.5,chr9,613609,614420,HMEC|chr9:613609-614420,chr9,705389,707389,HMEC|chr9:706888-706889
1,35040.5,chr12,120668218,120668781,HMEC|chr12:120668218-120668781,chr12,120703040,120705040,HMEC|chr12:120703539-120703540
1,72706.5,chr19,38470286,38470863,HMEC|chr19:38470286-38470863,chr19,38396368,38398368,HMEC|chr19:38397867-38397868
1,53819.0,chr3,119866015,119866649,HMEC|chr3:119866015-119866649,chr3,119812013,119814013,HMEC|chr3:119812512-119812513
1,53068.0,chr3,119866015,119866649,HMEC|chr3:119866015-119866649,chr3,119812764,119814764,HMEC|chr3:119813263-119813264
1,52147.5,chr3,119864155,119865166,HMEC|chr3:119864155-119865166,chr3,119812013,119814013,HMEC|chr3:119812512-119812513
1,51396.5,chr3,119864155,119865166,HMEC|chr3:119864155-119865166,chr3,119812764,119814764,HMEC|chr3:119813263-119813264
1,45368.0,chr22,38744067,38744697,HMEC|chr22:38744067-38744697,chr22,38698514,38700514,HMEC|chr22:38699013-38699014
1,47614.0,chr22,38744067,38744697,HMEC|chr22:38744067-38744697,chr22,38696268,38698268,HMEC|chr22:38696767-38696768
1,48352.0,chr22,38744067,38744697,HMEC|chr22:38744067-38744697,chr22,38695530,38697530,HMEC|chr22:38696029-38696030
1,53849.0,chr22,38744067,38744697,HMEC|chr22:38744067-38744697,chr22,38690033,38692033,HMEC|chr22:38690532-38690533
1,67239.0,chr4,119266913,119267293,HMEC|chr4:119266913-119267293,chr4,119198364,119200364,HMEC|chr4:119199863-119199864
1,67193.0,chr4,119266913,119267293,HMEC|chr4:119266913-119267293,chr4,119198410,119200410,HMEC|chr4:119199909-119199910
1,67190.0,chr4,119266913,119267293,HMEC|chr4:119266913-119267293,chr4,119198413,119200413,HMEC|chr4:119199912-119199913
1,66888.0,chr4,119266913,119267293,HMEC|chr4:119266913-119267293,chr4,119198715,119200715,HMEC|chr4:119200214-119200215
1,66264.5,chr4,119265962,119266295,HMEC|chr4:119265962-119266295,chr4,119198364,119200364,HMEC|chr4:119199863-119199864
1,66218.5,chr4,119265962,119266295,HMEC|chr4:119265962-119266295,chr4,119198410,119200410,HMEC|chr4:119199909-119199910
1,66215.5,chr4,119265962,119266295,HMEC|chr4:119265962-119266295,chr4,119198413,119200413,HMEC|chr4:119199912-119199913
1,65913.5,chr4,119265962,119266295,HMEC|chr4:119265962-119266295,chr4,119198715,119200715,HMEC|chr4:119200214-119200215
1,496506.5,chr8,118627166,118628005,HMEC|chr8:118627166-118628005,chr8,119123592,119125592,HMEC|chr8:119124091-119124092
1,495995.5,chr8,118627166,118628005,HMEC|chr8:118627166-118628005,chr8,119123081,119125081,HMEC|chr8:119123580-119123581
1,495067.5,chr8,118627166,118628005,HMEC|chr8:118627166-118628005,chr8,119122153,119124153,HMEC|chr8:119122652-119122653
1,501184.5,chr8,118622670,118623145,HMEC|chr8:118622670-118623145,chr8,119123592,119125592,HMEC|chr8:119124091-119124092
